"year","airport","num_of_passengers","freight_and_mail_total_tonnes"
"2019","Helsinki-Vantaa",21998427,221312
"2019","Enontekioe",28032,0
"2019","Ivalo",240745,4
"2019","Joensuu",127444,21
"2019","Jyvaeskylae",66718,9
"2019","Kajaani",87884,19
"2019","Kemi-Tornio",64234,13
"2019","Kittilae",366188,8
"2019","Kokkola-Pietarsaari",56547,13
"2019","Kuopio",244744,25
"2019","Kuusamo",115091,2
"2019","Lappeenranta",81160,0
"2019","Mariehamn",51756,108
"2019","Oulu",1064917,253
"2019","Pori",14424,0
"2019","Rovaniemi",664710,78
"2019","Savonlinna",10489,0
"2019","Tampere-Pirkkala",222964,113
"2019","Turku",454905,3861
"2019","Vaasa",305920,16
"2020","Helsinki-Vantaa",5084983,142980
"2020","Enontekioe",5266,0
"2020","Ivalo",115443,0
"2020","Joensuu",22089,4
"2020","Jyvaeskylae",10595,1
"2020","Kajaani",17428,5
"2020","Kemi-Tornio",13792,5
"2020","Kittilae",207587,4
"2020","Kokkola-Pietarsaari",9214,2
"2020","Kuopio",57938,13
"2020","Kuusamo",71539,1
"2020","Lappeenranta",21757,0
"2020","Mariehamn",24060,45
"2020","Oulu",315096,200
"2020","Pori",5313,0
"2020","Rovaniemi",269626,56
"2020","Savonlinna",1202,0
"2020","Tampere-Pirkkala",35921,35
"2020","Turku",113492,3856
"2020","Vaasa",60099,4
"2021","Helsinki-Vantaa",4295289,176429
"2021","Enontekioe",19797,0
"2021","Ivalo",111120,0
"2021","Joensuu",9343,1
"2021","Jyvaeskylae",4521,0
"2021","Kajaani",17888,2
"2021","Kemi-Tornio",17016,2
"2021","Kittilae",184058,8
"2021","Kokkola-Pietarsaari",6484,1
"2021","Kuopio",36560,13
"2021","Kuusamo",75076,1
"2021","Lappeenranta",13720,0
"2021","Mariehamn",18305,19
"2021","Oulu",302859,236
"2021","Pori",4711,0
"2021","Rovaniemi",256532,63
"2021","Savonlinna",613,0
"2021","Tampere-Pirkkala",8026,1
"2021","Turku",51535,2570
"2021","Vaasa",19408,2
"2022","Helsinki-Vantaa",12977702,171155
"2022","Enontekioe",29487,0
"2022","Ivalo",198809,1
"2022","Joensuu",19401,2
"2022","Jyvaeskylae",10897,2
"2022","Kajaani",26061,2
"2022","Kemi-Tornio",22852,4
"2022","Kittilae",339223,8
"2022","Kokkola-Pietarsaari",17239,4
"2022","Kuopio",126586,11
"2022","Kuusamo",118130,1
"2022","Lappeenranta",35796,0
"2022","Mariehamn",26747,11
"2022","Oulu",636385,253
"2022","Pori",11639,0
"2022","Rovaniemi",564056,61
"2022","Savonlinna",3160,0
"2022","Tampere-Pirkkala",168701,179
"2022","Turku",133522,1044
"2022","Vaasa",114027,5
"2023","Helsinki-Vantaa",15411792,172577
"2023","Enontekioe",32350,0
"2023","Ivalo",221525,1
"2023","Joensuu",40941,2
"2023","Jyvaeskylae",23476,1
"2023","Kajaani",41125,2
"2023","Kemi-Tornio",37694,3
"2023","Kittilae",376614,6
"2023","Kokkola-Pietarsaari",29469,3
"2023","Kuopio",147525,8
"2023","Kuusamo",121479,1
"2023","Lappeenranta",33355,0
"2023","Mariehamn",37636,13
"2023","Oulu",556589,230
"2023","Pori",12089,0
"2023","Rovaniemi",738003,65
"2023","Savonlinna",3041,0
"2023","Tampere-Pirkkala",213475,149
"2023","Turku",233659,2553
"2023","Vaasa",154658,4
