"area","num_of_vehicles_2011","num_of_vehicles_2012","num_of_vehicles_2013","num_of_vehicles_2014","num_of_vehicles_2015","num_of_vehicles_2016","num_of_vehicles_2017","num_of_vehicles_2018","num_of_vehicles_2019","num_of_vehicles_2020","num_of_vehicles_2021","num_of_vehicles_2022","num_of_vehicles_2023"
"MK01 Uusimaa",863068,886015,907841,924930,946660,973321,999818,1023758,1051098,1070421,1090299,1107095,1126406
"MK02 Southwest Finland",311496,319381,325754,331425,338365,347910,357667,366587,375258,381098,384827,388713,393324
"MK05 Kanta-Haeme",123623,127062,130131,132281,135291,139057,141886,144976,148236,150900,152046,152921,153842
"MK07 Paeijaet-Haeme",134153,137378,140669,142841,146099,150235,154088,157075,160647,163132,164052,164386,165411
"MK08 Kymenlaakso",120013,122352,124767,126870,129194,132023,134651,137291,139730,141155,142176,142508,142649
"MK09 South Karelia",91392,93882,96071,97762,99800,101667,103799,105376,106915,107933,107957,107466,108429
"MK04 Satakunta",171262,176023,180452,184179,187846,192877,198006,202226,206498,209551,211245,212839,215317
"MK06 Pirkanmaa",311739,320092,328022,335796,344338,355168,365561,376017,385623,393121,399913,405224,410602
"MK13 Central Finland",175588,180460,184260,187832,193006,198726,203376,208036,212112,215871,217836,218799,220794
"MK14 South Ostrobothnia",159524,164613,169230,173449,177340,182725,187021,191284,196840,200919,201859,204161,207152
"MK15 Ostrobothnia",127870,131693,135132,138392,141644,145450,149062,152903,156883,160135,161657,162869,165055
"MK10 South Savo",100264,102880,104720,106694,108750,110966,112698,114463,116313,117724,118258,118480,119082
"MK11 North Savo",167257,172596,177263,181679,185775,191246,195813,199078,203825,208393,209042,209591,211753
"MK12 North Karelia",118794,122252,124819,127674,130141,133571,135689,138021,140916,143133,143688,143805,144531
"MK16 Central Ostrobothnia",49272,50927,52366,53480,54999,56522,57796,59210,60381,61591,62065,62476,62906
"MK17 North Ostrobothnia",251246,260017,267335,275471,283560,292716,301402,309625,320170,328577,333455,335221,338307
"MK18 Kainuu",55192,56545,57719,58596,59793,61269,62469,63789,65051,66041,66371,66313,66713
"MK19 Lapland",130786,135008,138822,142055,145257,149257,152179,156335,160206,162993,164723,165950,168665
"MK21 Aaland",24352,25235,26134,26987,27701,28490,29209,28141,29912,30519,30934,31173,31363
