Regions,Population,Electricity_and_heating,Industry,Transportation,Machinery,Product_use,Agriculture,Waste_and_sewage,Total
Stockholms County,2 440 027,337,56,785,136,107,57,44,1 522
Uppsala County,400 682,502,121,1 412,244,109,709,43,3 139
Soedermanlands County,302 566,139,5 640,1 580,331,110,828,119,8 747
Oestergoetlands County,471 912,1 312,244,1 420,240,110,1 032,51,4 410
Joenkoepings County,369 113,419,142,1 717,240,111,1 019,114,3 762
Kronobergs County,204 335,240,120,1 739,245,111,1 010,133,3 598
Kalmar County,247 711,404,206,1 590,320,111,2 076,133,4 840
Gotlands County,61 173,279,24 724,2 269,507,109,4 031,149,32 068
Blekinge County,158 740,1 241,230,1 214,225,110,667,111,3 796
Skaane County,1 414 324,453,545,1 150,214,109,766,84,3 320
Hallands County,342 805,489,271,1 707,228,110,1 033,59,3 897
Vaestra Goetalands County,1 758 656,451,2 460,1 327,246,109,649,68,5 310
Vaermlands County,283 976,387,577,1 548,366,111,624,117,3 731
Oerebro County,307 772,341,907,1 431,268,110,651,105,3 814
Vaestmanlands County,280 713,640,783,1 340,261,110,556,96,3 786
Dalarnas County,288 310,417,2 057,1 464,385,111,471,91,4 998
Gaevleborgs County,287 334,203,806,1 669,388,111,504,104,3 787
Vaesternorrlands County,243 265,678,2 270,1 491,392,111,372,90,5 404
Jaemtlands County,132 670,125,75,1 300,639,111,801,181,3 232
Vaesterbottens County,276 295,424,1 116,1 559,486,110,560,92,4 346
Norrbottens County,249 177,6 995,9 817,1 843,1 152,113,455,194,20 568
Country of Sweden,10 521 556,610,1 300,1 298,270,109,615,86,4 288


