Region,Year,Other Heating
Blekinge County,2022,27.2
Dalarna County,2022,16.8
Gaevleborg County,2022,13.1
Gotland County,2022,12.6
Halland County,2022,47.0
Jaemtland County,2022,8.6
Joenkoeping County,2022,23.4
Kalmar County,2022,23.6
Kronoberg County,2022,14.0
Norrbotten County,2022,10.7
OErebro County,2022,16.5
OEstergoetland County,2022,24.2
Skaane County,2022,150.0
Soedermanland County,2022,16.1
Stockholm County,2022,72.4
Uppsala County,2022,17.9
Vaermland County,2022,24.4
Vaesterbotten County,2022,11.2
Vaesternorrland County,2022,14.3
Vaestmanland County,2022,11.2
Vaestra Goetaland County,2022,126.9
