County,Municipality,Total greenhouse gases in CO2-equivalent 1990,Total greenhouse gases in CO2-equivalent 2005,Total greenhouse gases in CO2-equivalent 2010,Total greenhouse gases in CO2-equivalent 2015,Total greenhouse gases in CO2-equivalent 2016,Total greenhouse gases in CO2-equivalent 2017,Total greenhouse gases in CO2-equivalent 2018,Total greenhouse gases in CO2-equivalent 2019,Total greenhouse gases in CO2-equivalent 2020,Total greenhouse gases in CO2-equivalent 2021,Total greenhouse gases in CO2-equivalent 2022
Blekinge county,Karlskrona,333212.838540193,280918.494847218,239734.681912101,192795.649712282,181825.516762277,188350.800215413,186285.421335105,176604.012111718,163889.694099439,161682.615040295,152508.756218066
Dalarnas county,Borlaenge,551559.338051477,638520.616797491,536663.006419635,464048.654351167,454916.101761275,439611.751994667,446874.892086367,416416.971486874,389001.320470544,408721.321701032,390904.716058726
Gotlands county,Gotland,2319954.28843947,2383484.68501948,2321347.43558917,2527778.80700153,2461581.46552043,2344674.63664437,2400871.7797528,2202626.8953325,2098008.39856562,2041621.53935733,1961683.24821442
Gaevleborgs county,Gaevle,601124.627207549,554694.729671801,593022.429743454,345094.456477246,335008.952676407,295246.22209878,296831.728267092,294174.726073859,274505.140815198,282264.029226009,257257.232382982
Hallands county,Halmstad,728198.385753477,702760.952154476,682182.492190585,450412.805463822,449967.790390179,432721.228318317,427024.863183252,416074.741972294,391917.40058207,406418.906704029,399979.873356501
Jaemtlands county,OEstersund,343597.599189898,259936.278462274,225746.05643267,189595.041476916,182090.790266984,179952.953484109,163360.392517477,150666.764500468,131188.155872211,130908.710705724,117844.83171806
Joenkoepings county,Joenkoeping,669581.379682874,623446.960467218,685468.408122294,565551.215048186,534392.971460833,530861.108336546,518611.876645878,510765.32592079,489401.70081255,491863.772024752,457750.809699662
Kalmar county,Kalmar,397946.457661784,334850.616147834,310803.858116706,250698.941911181,245981.722144553,239998.127649654,223724.736404039,219524.909344411,206087.874744317,204330.272800852,190659.858037573
Kronobergs county,Vaexjoe,469954.365508581,384305.664950103,355282.265297432,263507.30904786,259895.930398174,256357.317049188,253740.722231343,247477.756245584,214099.5631973,213397.384307244,200092.225886436
Norrbottens county,Gaellivare,361656.24332896,395127.122763271,432820.923121465,368908.302905455,364387.464835312,451598.749651414,462238.314704457,462129.673433786,413817.171094189,391764.008742925,351542.207186493
Skaane county,Malmoe,1275202.32450061,1155419.37124566,1910970.09562254,1137066.06201177,1065455.11237358,911173.145751207,844539.801130698,832244.538648425,707165.12685043,785274.917904848,716517.585361192
Stockholms county,Stockholm,2150829.11677492,2536059.13692908,2476926.15505958,2014006.33155181,1859073.015661,1744372.28597468,1728517.67783503,1450789.19083535,1049789.9424316,1149405.5256703,1088196.43140898
Soedermanlands county,Nykoeping,590439.90068964,373678.832843899,376259.981712071,322326.763487525,308403.065028254,304153.021027965,309022.327565063,305168.784305123,290456.066887476,290880.388079699,267761.317086291
Uppsala county,Uppsala,989999.546889252,1037271.53134059,1097516.53995963,797776.302064048,823799.319680552,750551.348184869,842400.370669201,731314.825260148,588265.041945494,610922.080385649,555126.620682869
Vaermlands county,Karlstad,497557.139256075,359233.095207248,362958.388444079,278446.490281084,278312.884903234,274245.859170367,258096.279308117,256330.931812528,243177.100749876,245875.201873471,224850.913111043
Vaesterbottens county,Skellefteaa,691680.593500633,572193.14368937,618425.055327413,606682.798788417,598260.243844549,605014.367535304,600918.505707274,572793.808300586,551730.699867554,563655.455887278,501629.142601684
Vaesternorrlands county,OErnskoeldsvik,781649.220650386,433137.480486355,384421.244659028,325191.814859513,332179.75403136,331454.416457489,309877.804318194,306535.849322646,275796.954310796,343270.659821704,289753.609290797
Vaestmanlands county,Vaesteraas,1005832.14177526,984309.972656763,1035461.66168968,568059.544625434,572734.921868243,586285.057424642,587287.271960281,561702.768341042,467583.671719554,496315.818547279,436547.922188617
Vaestra Goetalands county,Goeteborg,2475672.27157616,2551756.02460884,3023170.82930019,2323012.1983063,2562648.86865505,2254465.5085623,2468040.70877892,2395936.98127806,2155990.70229809,2281925.95932309,2285623.54612834
OErebro county,OErebro,802671.889198738,699936.010096456,702129.806680418,472467.011694825,502987.87527989,445055.218768662,447248.307453762,437423.174296615,379827.346860718,425605.37562592,366041.191665362
OEstergoetlands county,Linkoeping,1208180.95656522,774932.514122055,872570.134587576,706587.439481847,734297.261952565,705066.552673283,705835.139607728,675147.081296285,663235.325833117,702065.288730492,681931.177809311
